en_tok,de_tok
i ' m really happy you could assist us with this .,"ich freue mich wirklich , daß du uns hierbei helfen konntest ."
i was very cold .,mir war sehr kalt .
i was exhausted .,ich war ausgelaugt .
my father doesn ' t care about money at all .,mein vater ist an geld überhaupt nicht interessiert .
every day ' s the same .,jeder tag ist gleich .
"after tom replanted the trees , he watered them .","nachdem tom die bäume umgepflanzt hatte , bewässerte er sie ."
do you jog every day ?,gehst du jeden tag joggen ?
all the members of the committee hate one another .,alle mitglieder des komitees hassen einander .
"you don ' t expect an answer now , do you ?","du erwartest doch wohl jetzt keine antwort , oder ?"
he always plays well .,er spielt immer gut .
i ' m glad you were able to do everything you wanted .,"ich freue mich , daß sie alles geschafft haben , was sie sich vorgenommen hatten ."
tom loved mary a great deal .,tom liebte maria sehr .
i have no intention of apologizing to tom .,"ich denke nicht daran , mich bei tom zu entschuldigen ."
her unusual behavior caused our suspicions .,ihr ungewöhnliches verhalten erregte unser misstrauen .
please fill the teapot with boiling water .,fülle die teekanne bitte mit kochendem wasser .
where can i get some help ?,wo kann man mir helfen ?
tom moved back in .,tom ist wieder eingezogen .
how long did it take you to do that ? only thirty minutes .,wie lange hast du dafür gebraucht ? nur eine halbe stunde .
do you remember how to do that ?,"wissen sie noch , wie man das macht ?"
i don ' t have time to argue .,ich habe keine zeit zu diskutieren .
"when i have migraines , aspirin doesn ' t alleviate the pain for me .","wenn ich migräne habe , vermindert aspirin meine beschwerden nicht ."
you need a lawyer .,sie benötigen einen rechtsanwalt .
does tom drink beer ?,trinkt tom bier ?
he goes to school on foot .,er geht zu fuß in die schule .
do you take sugar in your tea ?,nehmen sie zucker in den tee ?
i missed the school bus .,ich verpasste den schulbus .
tom noticed that mary looked worried .,tom bemerkte marias besorgten gesichtsausdruck .
tom left for home well over an hour ago .,tom ist vor weit über einer stunde nach hause gefahren .
you don ' t have to go to the party unless you want to .,"sie müssen nicht zu der party gehen , wenn sie nicht wollen ."
let ' s begin .,lass uns anfangen !
"if you don ' t want to miss the train , you ' d better hurry .","wenn sie den zug nicht verpassen wollen , dann sollten sie sich besser beeilen ."
please don ' t cry .,bitte weine nicht .
everyone was in a bad mood .,alle hatten schlechte laune .
he is more clever than i am .,er ist schlauer als ich .
we sang as loudly as we could .,"wir sangen so laut , wie wir konnten ."
can you understand tom ?,kannst du tom verstehen ?
i caught him stealing the money .,ich habe ihn beim stehlen des geldes erwischt .
when did you first meet tom ?,wann hast du tom zum ersten mal getroffen ?
her life is in danger .,ihr leben ist in gefahr .
don ' t climb on this !,kletter nicht darauf !
i ' m not sure anymore .,da bin ich nicht mehr sicher .
have you ever been in boston before ?,bist du schon einmal zuvor in boston gewesen ?
tom is about to explode .,"tom steht kurz davor , an die decke zu gehen ."
i ' m so tired that i can ' t walk any longer .,"ich bin so müde , dass ich nicht mehr weitergehen kann ."
we ' re coming in .,wir kommen herein .
tom had open heart surgery .,tom wurde am offenen herzen operiert .
he could not walk any further .,er konnte nicht weiterlaufen .
tom injured himself when he jumped out of the window .,tom verletzte sich bei einem sprunge aus dem fenster .
i was at the park all day .,ich war den ganzen tag im park .
i dare say he is right .,"ich wage zu sagen , dass er recht hat ."
i envy you your luck .,ich beneide dich um dein glück .
i think french is a difficult language .,"ich finde , französisch ist eine schwierige sprache ."
it ' s your turn to answer the question .,"du bist an der reihe , die frage zu beantworten ."
i ' m likely going to be finished doing that by .,"es ist sehr wahrscheinlich , dass ich damit um uhr fertig sein werde ."
i kissed tom on his forehead .,ich küsste tom auf die stirn .
the washing machine is making a strange sound .,die waschmaschine hört sich komisch an .
i didn ' t mean to tempt you .,"es war nicht meine absicht , dich in versuchung zu bringen ."
he was laid off .,er wurde entlassen .
tom will find something .,tom wird etwas finden .
the moon shone brightly .,der mond schien helle .
i live by the river .,ich wohne am fluss .
tom studied very hard .,tom hat fleißig studiert .
could you please leave me alone ?,könntet ihr mich bitte in ruhe lassen ?
i wish you ' d never been born .,"ich wünschte , du wärst nie geboren worden ."
my boss was forced to resign .,mein chef wurde zum rücktritt gezwungen .
that ' s delicious . where did you learn to cook like that ?,das schmeckt köstlich . wo hast du so gut kochen gelernt ?
tom has a little girl named mary .,"tom hat ein kleines mädchen , das maria heißt ."
i bought fish .,ich kaufte fisch .
are you cross about something ?,ärgern sie sich über irgend etwas ?
tom was very busy all day .,tom war den ganzen tag sehr beschäftigt .
i miss tom already .,ich vermisse tom bereits .
the girl imagines that she is a doctor .,"das mädchen stellte sich vor , ärztin zu sein ."
how did you develop this rating system ?,wie habt ihr dieses bewertungssystem entwickelt ?
i might be a few minutes late .,ich komme vielleicht ein paar minuten später .
i think that tom is courteous .,"ich finde , tom ist höflich ."
take the children into the house .,bring die kinder ins haus !
he used every chance to practice english .,"er nutzte jede gelegenheit , um englisch zu üben ."
he fell flat on the floor .,er fiel flach auf den boden .
i think about her often .,ich denke oft an sie .
be sure to take an umbrella .,nimm auf jeden fall einen schirm mit !
tom lowered his gaze .,tom senkte seinen blick .
soccer is the world ' s most popular sport .,fußball ist die beliebteste sportart der welt .
i think there ' s some real potential here .,"es gibt hier , finde ich , richtig potential ."
were tom and mary close ?,haben sich tom und maria nahegestanden ?
tom is a world - famous conductor .,tom ist ein weltberühmter dirigent .
i won ' t answer that .,darauf antworte ich nicht .
"you weren ' t afraid , were you ?","sie hatten doch keine angst , oder ?"
i ' d like to talk to you about what happened at school yesterday .,"ich möchte mit dir über das sprechen , was sich gestern in der schule zugetragen hat ."
nobody really believed it .,niemand glaubte es so recht .
i have a stomachache .,mein bauch schmerzt .
i was a high school student at that time .,damals war ich noch gymnasiast .
may i have this book ?,kann ich dieses buch nehmen ?
where is the bus terminal ?,wo ist der busbahnhof ?
my daughter is the same age as you .,meine tochter ist so alt wie ihr .
can i help you pack ?,kann ich euch packen helfen ?
we weren ' t invited .,wir waren nicht eingeladen .
you need to be there .,du musst dort sein .
tom is a big fat liar .,tom ist ein verlogener hund .
people were starting to stare .,die leute guckten schon .
perhaps tom can drive you .,vielleicht kann tom dich fahren .
you should be proud of yourselves .,ihr solltet stolz auf euch sein .
is there an atm close by ?,gibt es hier in der nähe einen geldautomaten ?
we know you ' re not stupid .,"wir wissen , dass ihr nicht dumm seid ."
tom thinks he ' s acting in our best interest .,"tom glaubt , in unser aller bestem interesse zu handeln ."
have you already decided where you ' ll be spending christmas ?,"haben sie sich schon entschieden , wo sie das weihnachtsfest begehen werden ?"
the boy denied having stolen the bicycle .,"der junge verneinte , dass er das fahrrad gestohlen hat ."
trees provide shade .,bäume spenden schatten .
the old man lives alone .,der alte mann lebt alleine .
tom lay down in the grass and looked at the stars .,tom legte sich ins gras und betrachtete die sterne .
tom is better at doing that than me .,tom kann das besser als ich .
she insisted that he should go to the hospital .,"sie bestand darauf , dass er ins krankenhaus geht ."
i suggest that you and tom should have a chat .,"ich schlage vor , dass sie sich mal mit tom unterhalten ."
someone ' s outside .,jemand ist draußen .
i was unable to stand any longer .,ich konnte nicht mehr stehen .
they think it ' s a toy .,"sie denken , es ist ein spielzeug ."
stop talking about that .,sprich nicht mehr davon !
the robot was so lifelike that it was creepy .,"der roboter war so lebensecht , dass es gruselig war ."
tom sells radios .,thomas verkauft radios .
this sort of work calls for a lot of patience .,diese arbeit erfordert viel geduld .
"don ' t worry , i ' ll help you .",keine sorge ! ich helfe ihnen .
what are you three doing here ?,was tut ihr drei hier ?
he ' s a friend from work .,er ist ein freund von der arbeit .
i didn ' t know tom had a house on park street .,"ich wusste nicht , dass tom ein haus in der parkstraße hat ."
i don ' t know which one to choose .,"ich weiß nicht , welche ich nehmen soll ."
she came in with tears in her eyes .,sie ist mit tränen in den augen hereingekommen .
the building is managed by a local cultural foundation .,das gebäude wird derzeit von einer regionalen kulturstiftung verwaltet .
you need to cross the finish line .,man muss die ziellinie überqueren .
can you cook an omelet ?,können sie ein omelett machen ?
what have you gotten me into ?,was hast du mir hier eingebrockt ?
what time does the library close ?,wann schließt die bibliothek ?
who were you going to call ?,wen wolltet ihr anrufen ?
try to avoid bad company .,"versuche , schlechter gesellschaft aus dem weg zu gehen ."
don ' t let yourself be used .,lass dich nicht ausnutzen !
the girl doesn ' t like the red shoes .,dem mädchen gefallen die roten schuhe nicht .
an illustration may make the point clear .,eine illustration kann es auf den punkt bringen .
what ' ve you been doing recently ?,was habt ihr in letzter zeit getan ?
i always ride a bicycle to school .,ich fahre immer mit dem rad zur schule .
you wouldn ' t understand . it ' s a girl thing .,du verstündest das nicht . das ist eine mädchenangelegenheit .
he followed the doctor ' s suggestions .,er hat die vorschläge des doktors befolgt .
whales are similar to fish in shape .,wale haben eine ähnliche gestalt wie fische .
tom was confident .,tom war selbstbewusst .
he had to clean his room .,er musste sein zimmer putzen .
she always gets up at six .,sie steht immer um sechs uhr auf .
he is very stingy with his money .,er ist ein geizkragen .
who do you really work for ?,für wen arbeitet ihr wirklich ?
tom is a really good person .,tom ist ein richtig guter mensch .
i thought you said that you weren ' t interested .,"du sagtest doch , du seiest nicht interessiert ."
tom isn ' t as naive as a lot of people think he is .,"tom ist nicht so naiv , wie viele meinen ."
some furniture is put together with glue .,einige möbel werden mit leim zusammengesetzt .
tom returned home early .,tom kam eher nach hause .
mathematics is not just the memorization of formulas .,mathematik ist nicht das bloße auswendiglernen von formeln .
tell me what kind of bread you want .,"sag mir , was für brot du möchtest ."
"would you move your car , please ?",würden sie bitte ihr auto wegfahren ?
you just made me smile .,du hast mich gerade zum lächeln gebracht .
do you want to go out and paint the town red ?,"hast du lust , mal ordentlich auf den putz zu hauen ?"
tom was happy to be reunited with his girlfriend .,"tom freute sich , wieder mit seiner freundin zusammenzusein ."
tom is a very introverted kid .,tom ist ein sehr introvertiertes kind .
did you learn a lot here ?,habt ihr hier viel gelernt ?
she has beautiful blue eyes .,sie hat wunderschöne blaue augen .
i need my keys .,ich brauche meine schlüssel .
a lot of people don ' t vote .,viele wählen nicht .
i don ' t want to sit next to tom tonight .,ich will heute abend nicht neben tom sitzen .
"she likes chocolate , too .",sie mag auch schokolade .
tom and i were both shocked .,tom und ich waren beide schockiert .
nobody has managed to please everyone .,"niemandem gelang es , allen zu gefallen ."
i think we should just be friends .,"ich denke , dass wir nur freunde sein sollten ."
it ' s a brain - teaser .,das ist eine knobelaufgabe .
can you fix this ?,kannst du das reparieren ?
are you planning on buying a car ?,"habt ihr vor , euch ein auto zu kaufen ?"
is that your new book ?,ist das dein neues buch ?
i thought you ' d be impressed .,"ich dachte , sie wären beeindruckt ."
we ' re not lost .,wir sind nicht verloren .
tom ' s car ' s dirty .,toms auto ist schmutzig .
tom is the shortest person in our club .,tom ist die kleinste person bei uns im club .
this is a picture of the ship i was on .,"das hier ist ein bild des schiffes , auf dem ich war ."
the boy had the dish empty in a moment .,der junge hatte den teller augenblicklich geleert .
tom slept for only about three hours last night .,tom hat heute nacht nur drei stunden geschlafen .
nothing that tom does surprises me anymore .,"nichts von dem , was tom tut , überrascht mich noch ."
i can bake bread .,ich kann brot backen .
i have a nephew living in boston .,"ich habe einen neffen , der in boston wohnt ."
nothing has been overlooked .,man hat nichts übersehen .
it would be nice if tom could help me this afternoon .,"es wäre schön , wenn tom mir heute nachmittag helfen könnte ."
is this red wine ?,ist das rotwein ?
i ' ve never heard of him before .,ich habe noch nie von ihm gehört .
tom can show you how to take care of yourself .,"tom kann ihnen zeigen , wie sie allein zurechtkommen ."
i can never get my son to eat any vegetables .,"ich kann meinen sohn nie dazu bringen , irgendwelches gemüse zu essen ."
"as tom was doing that , it began to rain .","während tom damit befasst war , fing es an zu regnen ."
his shirt was stained with sauce .,auf seinem hemd war ein soßenfleck .
tom could ' ve killed me .,tom könnte mich getötet haben .
i should ' ve paid more attention in class .,ich hätte im unterricht besser aufpassen sollen .
it ' s always been like that .,das ist immer so gewesen .
tom stayed up all night .,tom blieb die ganze nacht lang auf .
tom has to go with mary .,tom muss mit maria gehen .
i grow tomatoes .,ich züchte tomaten .
help tom .,hilf tom !
they went to a resort in the mountains last summer .,letzten sommer fuhren sie zu einem kurort in den bergen .
he went so far as to hit her .,"er ging so weit , sie zu schlagen ."
i ' m wearing the same clothes as i was yesterday .,das trage dasselbe wie gestern .
people don ' t do that .,die leute machen das nicht .
i didn ' t know that you were such a good cook .,"ich wußte gar nicht , daß du so gut kochen kannst !"
tom is completely sober .,tom ist absolut nüchtern .
she kept me waiting for minutes .,sie ließ mich eine halbe stunde warten .
she said she had a cold .,"sie sagte , dass sie erkältet ist ."
tom wants to know when we ' re going to leave .,"tom möchte wissen , wann wir aufzubrechen gedenken ."
come on in .,komm herein .
deal with it .,kümmern sie sich drum !
tom doesn ' t have to thank us .,tom braucht uns nicht zu danken .
tom gambled away his life savings .,tom hat seine ersparnisse verspielt .
do you know tom ' s parents ?,kennst du toms eltern ?
it was superb .,es ist grandios gewesen .
tom can swim as fast as you .,tom kann genauso schnell schwimmen wie du .
they ' ve helped a lot of people .,sie halfen vielen leuten .
i really like the concept of this website .,mir gefällt das konzept dieser webseite wirklich gut .
why would i want to have dinner with tom ?,warum sollte ich mit tom zu abend essen wollen ?
"in my opinion , she is correct .","ich bin der meinung , dass sie recht hat ."
we knew all about it .,wir wussten alles darüber .
i ' m only doing my job .,ich verrichte nur meine arbeit .
the miners did not want to fight .,die bergleute wollten nicht kämpfen .
i don ' t deny this .,ich streite es nicht ab .
it ' s not worth discussing .,"es lohnt sich nicht , darüber zu reden ."
i hope you won ' t take this the wrong way .,"ich hoffe , du fasst das nicht falsch auf ."
don ' t forget to wash your hands .,"vergesst nicht , euch die hände zu waschen !"
you should use a deodorant .,du solltest ein deo benutzen .
you should ' ve called me .,ihr hättet mich anrufen sollen .
will he ever forgive me ?,wird er mir jemals vergeben ?
tom was praying .,tom betete .
tom is very impatient .,tom ist sehr ungeduldig .
i bought some shampoo and toothpaste .,ich habe shampoo und zahnpasta gekauft .
owls are active at night .,eulen sind nachtaktiv .
tom stared at mary for a moment .,tom starrte mary einen moment an .
do whatever makes you happy .,"mach , was immer dich glücklich macht ."
"this smells very , very good .",das riecht aber sehr gut !
we ' re planning on staying until tomorrow .,wir wollen bis morgen bleiben .
he ' ll be granted american citizenship .,ihm wird die amerikanische staatsbürgerschaft verliehen .
you ' re motivated .,du bist motiviert .
tom has a violent temper .,tom ist gewalttätig veranlagt .
cut the red wire .,schneiden sie das rote kabel durch .
tom and mary were alone in the park .,tom und maria waren allein im park .
they insulted him and his wife .,sie haben ihn und seine frau beleidigt .
so you both failed the exam ?,ihr seid bei der prüfung also alle beide durchgerasselt ?
tom fell in love with mary at first sight .,tom verliebte sich auf den ersten blick in maria .
we saw them leave .,wir haben sie gehen sehen .
nothing ' s happening here .,es ist nichts los hier .
i have nothing scheduled for tomorrow .,morgen habe ich noch nichts vor .
the picture brought back a lot of memories .,das bild brachte viele erinnerungen zurück .
the index cards need sorting .,die karteikarten müssen sortiert werden !
this is my brother ' s .,das ist von meinem bruder .
he has the habit of reading the newspaper during meals .,"er hat die angewohnheit , die zeitung während des essens zu lesen ."
we ' re protecting you .,wir beschützen dich .
it ' ll soon be christmas again .,bald ist schon wieder weihnachten .
do you think tom and mary are related ?,"glaubt ihr , daß tom und maria verwandt sind ?"
tom whistled a tune as he walked down the street .,"tom pfiff ein liedchen , indes er die straße entlangging ."
you ' re worrying way too much .,sie machen sich viel zu viele sorgen .
i didn ' t really have a choice .,ich hatte nicht wirklich eine wahl .
i don ' t buy it .,ich kaufe sie nicht .
have you ever been to australia ?,waren sie schon einmal in australien ?
i know that you ' re not ready to deal with this .,"ich weiß , daß ihr nicht bereit seid , euch damit zu befassen ."
tom packed his bags .,tom packte seine siebensachen .
she told me she knew my brother .,"sie sagte mir , sie kenne meinen bruder ."
how could this have happened ?,wie war dies möglich ?
don ' t be afraid to ask questions .,"scheuen sie sich nicht , fragen zu stellen ."
"tom is coming here , isn ' t he ?","tom kommt hierher , oder ?"
i would ' ve said yes .,ich hätte ja gesagt .
please tell him to wait .,"sag ihm bitte , dass er warten soll ."
all good things must come to an end .,alles muss einmal zu ende gehen .
all you have to do is to hand this book to him .,ihr braucht ihm nur dieses buch zu geben .
they won ' t hurt you .,sie werden dir nichts antun .
i like your cats .,ich mag deine katzen .
"if he is proficient in english , i ' ll employ him .","wenn er englisch beherrscht , werde ich ihn einstellen ."
"if you want to swim , swim .","wenn du schwimmen willst , dann schwimm doch !"
did you speak to the manager ?,hast du mit dem geschäftsführer gesprochen ?
they ' re fake .,sie sind gefälscht .
you seem upset .,sie scheinen bestürzt zu sein .
there ' s a policeman at the door .,da ist ein polizist an der tür .
i just asked because i thought you would know .,"ich fragte nur , weil ich dachte , du würdest es wissen ."
she attacked him with a pair of scissors .,sie hat ihn mit einer schere angegriffen .
do you think you ' ll ever come back here ?,"denken sie , daß sie je wieder hierher zurückkehren werden ?"
"i know who tom is , but i ' ve never spoken to him .","ich weiß , wer thomas ist , aber ich habe noch nie mit ihm gesprochen ."
tom was killed in an explosion .,tom kam bei einer explosion ums leben .
we believe in you .,wir glauben an euch .
homicide is punishable by death .,mord kann mit dem tode bestraft werden .
tom will be here for at least a week .,tom wird wenigstens eine woche hier sein .
do you think i talk too much ?,"findest du , dass ich zu viel rede ?"
they know the importance of protecting the earth .,"sie wissen , wie wichtig es ist , die erde zu beschützen ."
may i use this pen ?,darf ich diesen stift benutzen ?
don ' t leave until you ' ve done that .,"geht nicht eher weg , bis ihr das getan habt !"
tom couldn ' t resist the temptation to kiss mary .,"tom konnte nicht der versuchung widerstehen , maria einen kuss zu geben ."
he thinks i love her .,"er glaubt , ich sei in sie verliebt ."
write it down so you don ' t forget .,"schreiben sie es sich auf , damit sie es nicht vergessen !"
why did you put off the printing of my book ?,warum haben sie den druck meines buches aufgeschoben ?
the woman suspected that her son was using drugs .,"die frau verdächtigte ihren sohn , drogen zu nehmen ."
why don ' t you have a look ?,warum guckst du nicht ?
i can ' t think of any reason why tom would want to leave .,"ich wüsste nicht , warum tom den wunsch haben sollte zu gehen ."
i already saw it .,ich habe es schon gesehen .
where will you be this afternoon ?,wo sind sie heute nachmittag ?
we ' re likely to be about three hours late .,wir werden uns wahrscheinlich um circa drei stunden verspäten .
i ' m leaving today .,ich reise heute ab .
you must be flexible in your thinking .,du musst flexibel denken .
tom is good .,tom ist brav .
tom refilled mary ' s glass .,tom füllte marias glas wieder auf .
they came early so they wouldn ' t miss the prelude .,"sie kamen zeitig , um das präludium nicht zu verpassen ."
everything looked bright and hopeful .,alles sah hell und hoffnungsvoll aus .
i hope i haven ' t misspelled your name .,"ich hoffe , dass ich deinen namen nicht falsch geschrieben habe ."
are you the ones who talked tom into doing it ?,"wart ihr es , die tom dazu überredet haben ?"
many american planes were shot down .,viele amerikanische flugzeuge wurden abgeschossen .
you don ' t need to stand up .,du brauchst nicht extra aufzustehen .
i ' d like to look inside .,ich möchte hineinsehen .
neither of them seem to be aware of what has happened .,"allen beiden scheint nicht bewusst zu sein , was passiert ist ."
tom nearly died of embarrassment .,tom wäre vor scham fast gestorben .
it ' s not important whether we win the game or not .,"es ist nicht wichtig , ob wir das spiel gewinnen ."
i will never tell !,das werde ich nie sagen !
i wish i were young .,"ich wünschte , ich wäre jung ."
tom said he was going to try to help us .,"tom sagte , er wolle versuchen , uns zu helfen ."
tom is shallow .,tom ist oberflächlich .
we use a dictionary to look up the meaning of words .,zum nachschlagen von wortbedeutungen verwenden wir ein wörterbuch .
i ' m half japanese .,ich bin zur hälfte japanerin .
i want to eat some korean food that isn ' t spicy .,"ich möchte etwas koreanisches essen , das nicht so stark gewürzt ist ."
"it ' s a good newspaper , isn ' t it ?","das ist eine gute zeitung , stimmt ' s ?"
i don ' t want to be with you anymore .,ich will nicht mehr mit euch zusammensein .
you ' re unkind .,sie sind wenig freundlich .
is there enough food for everyone ?,gibt es genug zu essen für alle ?
tom is a great guy .,tom ist ein toller typ .
watch out for tom .,"schau , dass du tom findest ."
i don ' t think you ' re heartless .,ich halte sie nicht für herzlos .
you will soon get used to speaking in public .,"ihr werdet euch bald daran gewöhnen , in der öffentlichkeit zu sprechen ."
the archaeologist found the entrance to a tomb .,der archäologe fand den eingang zu einem grab .
do you know what ' s causing the problem ?,"weißt du , wovon das problem verursacht wird ?"
were you at tom ' s party ?,wart ihr auf toms party ?
we ' ll have to come back .,wir werden zurückkommen müssen .
tom would lend you money if he had any .,"tom liehe ihnen geld , wenn er welches hätte ."
tom can ' t do anything without mary ' s help .,tom schafft nichts ohne marias hilfe .
please write down everything i say .,"schreiben sie bitte alles auf , was ich sage !"
it ' s secret .,das ist geheim .
i advise you to be humble .,"ich rate euch , bescheiden zu sein ."
i ' ve used up all the toothpaste .,ich habe alle zahnpasta aufgebraucht .
i plan on retiring soon .,"ich habe vor , mich bald zur ruhe zu setzen ."
my great - great - great - grandfather was a pirate .,mein urururgroßvater war seeräuber .
tom seems to be happy now .,tom scheint jetzt glücklich zu sein .
was it tom that told you i ' d come ?,"war es tom , der euch sagte , ich käme ?"
"you ' ll be on time , won ' t you ?","sie werden doch pünktlich sein , nicht wahr ?"
what time will you be back ?,um wieviel uhr kommst du wieder ?
you weren ' t paying attention .,du hast nicht aufgepasst .
tom isn ' t the man that he used to be .,"tom ist nicht mehr der mann , der er einst war ."
you can ' t kill us all .,ihr könnt uns nicht alle umbringen .
i got a b in physics .,ich habe eine zwei in physik bekommen .
i don ' t want you to quit playing the piano .,"ich will nicht , dass du mit dem klavierspielen aufhörst ."
i handed a map to him .,ich hab ihm eine karte gereicht .
have you left room for dessert ?,haben sie noch platz für nachtisch ?
don ' t put sugar in my coffee .,tu keinen zucker in meinen kaffee .
i just want people to like me .,"ich will einfach nur , dass die leute mich mögen ."
we worry about your future .,wir machen uns sorgen um eure zukunft .
my car is at your disposal .,mein auto steht dir zur verfügung .
you can ' t say i never tried .,"du kannst nicht sagen , daß ich es nie versucht hätte ."
do you always eat like this ?,essen sie immer so ?
does that make you happy ?,macht dich das glücklich ?
the secretary was dismissed .,die sekretärin wurde entlassen .
tom is thinking about it .,tom denkt daran .
mary is a good mother .,maria ist eine gute mutter .
i ' ll write a letter to tom .,ich werde tom einen brief schreiben .
tom usually comes home for lunch .,tom kommt gewöhnlich zum mittagessen nach hause .
the basket was filled with strawberries .,der korb war voller erdbeeren .
please explain the rule to me .,bitte erklär mir die regel .
tom talked mary into helping him .,"tom überredete maria dazu , ihm zu helfen ."
i don ' t know why you want me to do this .,"ich weiß nicht , warum du willst , dass ich das tue ."
ultraviolet light helps to destroy viruses .,"ultraviolettes licht hilft , viren zu vernichten ."
i admit that i was a little drunk .,"ich gebe zu , dass ich ein wenig angetrunken war ."
happy easter !,fröhliche ostern !
i rested in the shade of a tree .,ich ruhte im schatten eines baumes .
look at me when i ' m talking to you !,"schau mich an , wenn ich mit dir spreche !"
what ' ll you do ?,was wirst du tun ?
i ' d advise you to accept the offer .,"ich riete euch , das angebot anzunehmen ."
did you phone tom ?,hast du tom angerufen ?
i don ' t want tom to find me .,"ich will nicht , dass tom mich findet ."
you don ' t have to go to work today .,du mußt heute nicht zur arbeit .
you could ask tom .,du könntest tom fragen .
did you enjoy it ?,hat es dir spaß gemacht ?
the campers sang songs around the campfire .,die zelter sangen am lagerfeuer lieder .
smoking is really bad for your health .,rauchen ist wirklich gesundheitsschädlich .
it ' s a pity that you don ' t know how to swim .,"es ist schade , dass du nicht schwimmen kannst ."
he asked after you .,er hat sich nach dir erkundigt .
i want you to know i appreciate your help .,"ich will , daß ihr wißt , daß ich eure hilfe zu schätzen weiß ."
tom was very convincing .,tom war sehr überzeugend .
expectations were low .,die erwartungen waren gering .
you may eat anything in the refrigerator .,du darfst alles aus dem kühlschrank essen .
this is not a trick .,dies ist kein trick .
tom and mary aren ' t kidding .,tom und maria machen keine witze .
"pass me the salt , please .",reich mir bitte das salz !
tom brought a case of beer .,tom hat einen kasten bier mitgebracht .
you can wait in the car .,ihr könnt im wagen warten .
i don ' t have many regrets .,"es gibt nicht viel , was ich bereue ."
did you voice your suspicion ?,haben sie ihren verdacht geäußert ?
the ambulance arrived right away .,der rettungswagen kam sofort .
tom is wearing a coat that ' s too large for him .,tom trägt einen ihm zu großen mantel .
tom keeps every letter his mother sends him .,"tom bewahrt jeden brief auf , den ihm seine mutter schickt ."
my son is a journalist .,mein sohn ist journalist .
you leave me no choice in the matter .,sie lassen mir da keine andere wahl .
i go to the movies once a month .,ich gehe einmal im monat ins kino .
it ' s a pheasant .,es ist ein fasan .
i don ' t want to suffer for no reason .,ich will nicht grundlos leiden .
strawberries sell for a high price in the winter .,erdbeeren lassen sich im winter zu einem hohen preis verkaufen .
tom didn ' t want to stay at home alone .,tom wollte nicht allein zu hause bleiben .
when was it you first met tom ?,wann habt ihr tom kennengelernt ?
japan today is not what it was even ten years ago .,"das heutige japan ist nicht einmal mehr das , was es noch vor zehn jahren war ."
what time did you get back from boston ?,um wieviel uhr seid ihr aus boston zurückgekommen ?
"tom , why did you do that ?","tom , warum hast du das getan ?"
you seem to be a compulsive liar .,du scheinst ein notorischer lügner zu sein .
i don ' t need anyone anymore .,ich brauche niemanden mehr .
she bent over the child .,sie beugte sich über das kind .
i can get you everything you need .,"ich kann dir alles besorgen , was du brauchst ."
let ' s take it one step at a time .,lasst es uns schritt für schritt machen .
tom is good with his hands and has built many interesting things .,tom ist ein geschickter handwerker und hat viel interessantes hergestellt .
that ' s my neighbor ' s dog .,das ist der hund von meiner nachbarin .
it ' s a lot colder in boston than it is here .,in boston ist es viel kälter als hier .
i don ' t understand why .,"ich verstehe nicht , warum ."
tom played football .,tom spielte fußball .
who gave you that ?,wer hat euch das gegeben ?
i have complete faith in my doctor .,ich vertraue meiner ärztin vollkommen .
i ' m glad you ' ve decided not to do that .,"ich bin froh , dass du dich entschieden hast , das nicht zu tun ."
the shops are already closed now .,jetzt haben alle geschäfte schon geschlossen .
i forgot to tell tom to be there tomorrow at .,"ich habe vergessen , tom zu sagen , dass er morgen um . uhr dasein soll ."
"that one ' s for me , too .",dieser ist auch für mich .
we finally reached the top of mt . fuji .,endlich erreichten wir den gipfel des fuji .
do you think that we ' re going to improve ?,"denkt ihr , daß wir uns noch verbessern werden ?"
i don ' t know how to drive a car .,ich kann nicht auto fahren .
don ' t be paranoid .,werde nicht paranoid !
can i see the wine list ?,könnte ich die weinkarte sehen ?
wait for tom .,warten sie auf tom !
did you feed the dog ?,hast du dem hund zu fressen gegeben ?
tom extinguished the fire .,tom löschte das feuer .
tom overslept .,tom hat verschlafen .
i have an old car .,ich habe ein altes auto .
did you keep your receipt ?,haben sie die quittung aufbewahrt ?
tom is homeless .,tom ist obdachlos .
it was tom ' s fault .,es war toms schuld .
i feel really stupid .,ich komme mir wirklich dumm vor .
do you want me to lock the door ?,"willst du , daß ich die tür abschließe ?"
what did you think when tom suggested that ?,"was haben sie gedacht , als tom das vorschlug ?"
tom is busy today .,tom ist heute beschäftigt .
i pretended to be sleeping .,"ich tat so , als ob ich schliefe ."
tom and mary don ' t trust each other .,tom und maria trauen einander nicht .
"yours is not bad , either .",eure ist auch nicht schlecht .
does that name ring a bell ?,kommt dir der name bekannt vor ?
we don ' t care what he does .,"es ist uns egal , was er macht ."
i tossed and turned all night .,ich habe mich die ganze nacht im bett hin und her gewälzt .
you should clean your room .,du solltest dein zimmer putzen .
he ' s looking at dinosaurs .,er schaut sich gerade saurier an .
tom is pulling mary ' s hair .,tom zieht an marias haaren .
i apologized .,ich entschuldigte mich .
you ' re a very beautiful girl .,du bist ein sehr schönes mädchen .
how many birthday parties did you go to last year ?,auf wie vielen geburtstagsfeiern wart ihr letztes jahr ?
i like my french teacher .,ich mag meine französischlehrerin .
why don ' t you come over here ?,warum kommst du nicht vorbei ?
tom said he had to leave .,"tom sagte , er müsse gehen ."
